id,recipename_id,ServePortion,ServeUnit,Type
1,2,1,1,protein
2,2,1,1/2,vegetables
3,3,1,1,vegetables
4,3,1,1,protein
5,3,1,1,vegetables
6,4,1,2,bread
7,4,1,1,vegetables
8,4,1,1/2,fats
9,5,1,2,protein
10,5,1,1,vegetables
11,5,1,2,fats
12,6,1,1,protein
13,6,1,2,bread
14,6,1,1/2,dairy
15,6,1,1,vegetables
16,6,1,1,fats
17,7,1,2,protein
18,8,1,2,protein
19,8,1,1.5,vegetables
20,8,1,2,fats
21,9,1,2,protein
22,9,1,1,vegetables
23,9,1,1/2,fats
24,10,1,2,protein
25,10,1,1/2,dairy
26,10,1,2,fats
27,11,1,2,protein
28,11,1,1,vegetables
29,12,1,2,protein
30,12,1,1,vegetables
31,12,1,2,fats
32,13,1,2,protein
33,13,1,1,vegetables
34,13,1,1,fats
35,14,1,2,protein
36,14,1,1,vegetables
37,14,1,1,fats
38,15,1,2,protein
39,15,1,1,vegetables
40,15,1,2,fats
41,16,1,2,protein
42,16,1,1.5,vegetables
43,16,1,1.5,fats
44,17,1,1,protein
45,17,1,1/2,dairy
46,17,1,1.5,vegetables
47,17,1,1,fats
48,18,1,2,protein
49,18,1,1.5,vegetables
50,18,1,2,fats
51,19,1,1/2,vegetables
52,20,1,1,protein
53,20,1,1,vegetables
54,20,1,1,fats
55,21,1,1,protein
56,21,1,1,bread
57,21,1,1,vegetables
58,21,1,3,fats
59,22,1,2,protein
60,22,1,1,vegetables
61,22,1,2,fats
62,23,1,2,protein
63,23,1,1,vegetables
64,23,1,2,fats
65,24,1,2,protein
66,24,1,1,fats
67,25,1,1,protein
68,25,1,1,dairy
69,25,1,1,vegetables
70,25,1,1,fats
71,26,1,2,protein
72,27,1,2,protein
73,27,1,2,fats
74,28,1,2,protein
75,28,1,1.5,vegetables
76,28,1,1.5,fats
77,29,1,2,protein
78,29,1,1/2,dairy
79,29,1,1.5,vegetables
80,29,1,2,fats
81,30,1,1,protein
82,30,1,1,bread
83,30,1,1/2,dairy
