urlname,ServingTime,id,NumServing,RecipeName
,4,2,lunch,oriental chicken soup
,4,3,lunch,light vegetable soup
,4,4,lunch,spiced red lentil and vegetable soup
,4,5,dinner,beef provencal casserole
,4,6,lunch,corn fritters with smoked salmon and spinach
,4,7,dinner,"poached chicken breast with soy, ginger and spring onion"
,4,8,dinner,coq au vin
,4,9,dinner,seared tuna with asian greens and soy
,4,10,dinner,cajun fish fillets
,4,11,lunch,ham and vegetable frittata
,4,12,dinner,meatballs in tomato and basil sauce
,4,13,dinner,thai beef salad
,4,14,dinner,barbecued steak with artichoke and herb salad
,4,15,dinner,"chicken, tomato and rosemary hotpot"
,4,16,dinner,"roast beef with beetroot, pumpkin and carrot"
,4,17,lunch,rosemary lamb with olive and feta salad
,4,18,dinner,"roasted chicken with thyme, red onions and butternut pumpkin"
,4,19,lunch,beautiful borscht
,4,20,lunch,salmon salad with tarragon and caper dressing
,4,21,lunch,chicken and leek pie
,4,22,dinner,indian lamb and spinach curry
,4,23,dinner,rosemary and lemon lamb cutlets with baked fennel and red onion
,4,24,dinner,moroccan snapper fillets
,4,25,lunch,"bacon, egg and mushroom bake"
,4,26,dinner,chicken with dijon mustard and white wine
,4,27,dinner,lamb shanks
,4,28,dinner,char-grilled beef fillet with mushrooms and caramelised onion
,dinner,29,4,beef and eggplant cannelloni
,4,30,lunch,chicken caesar salad
,4,31,lunch,portuguese chicken salad with charred lemons
,4,32,lunch,roast beef and beetroot salad
,4,33,dinner,"pork cutlet with avocado, orange and beetroot salad"
,4,34,lunch,thai pork and noodle salad
,4,35,lunch,lemon and chilli chicken skewers
,4,36,dinner,seeded-mustard rack of veal with roasted vegetables
,4,37,dinner,italian lamb casserole
,4,38,dinner,baked rack of lamb with baby vegetables
,4,39,lunch,pumpkin and spinach frittata
,4,40,dinner,greek-style lamb kebabs with tzatziki
,4,41,dinner,polenta-crumbed lamb chops with zucchini and feta
,4,42,dinner,seafood paella
,4,43,lunch,poached beef salad with vietnamese dressing
,4,44,dinner,sesame ocean trout with mixed mushrooms
,4,45,lunch,"chicken, tomato and zucchini pizza"
,4,46,lunch,burger
,4,47,lunch,butternut pumpkin and coriander soup
,4,48,lunch,chicken tortillas with roasted corn salsa
,4,49,dinner,stir-fried chilli plum calamari with crunchy vegetable salad
,4,50,lunch,"beef, spinach and pumpkin salad"
,4,51,lunch,baked mediterranean vegetables with ricotta
,4,52,dinner,"char-grilled salmon with parsley relish, asparagus and pumpkin"
,4,53,lunch,minestrone with meatballs
,4,54,dinner,stir-fried ginger chicken with sesame bok choy
,4,55,dinner,veal rolls in tomato and red wine sauce
,4,56,lunch,warm salad of moroccan lamb with roasted tomatoes
,4,57,lunch,sesame tofu with asian mushrooms
,4,58,lunch,salmon and broccoli tart
,4,59,dinner,steamed salmon with thai sauce
,4,60,dinner,steamed blue-eye cod with spring onions and soy
,4,61,dinner,lamb loin chops with asian coleslaw
,4,62,lunch,pork and onion kebabs
,4,63,lunch,lamb shank soup with gremolata
,4,64,dinner,warm chicken salad
,4,65,dinner,beef and potato pie
,4,66,dinner,steamed bream with lemon and capers
,4,67,lunch,tuna with cannellini bean and basil salad
,4,68,dinner,"beef, shiitake mushroom and snow pea stir-fry"
,4,69,lunch,tandoori chicken salad
,4,70,lunch,"tomatoes stuffed with tuna, basil and spinach"
,4,71,dinner,indian lamb patties
,4,72,dinner,lamb and rosemary sausages
,4,73,lunch,zucchini and mint pie
,4,74,dinner,beef stroganoff
,4,75,dinner,chicken stir-fry with broccoli and capsicum
,4,76,lunch,roast red capsicum and tomato soup
,4,77,dinner,"baked yoghurt chicken with tomato, mint and cucumber salad"
,4,78,dinner,pork loin with tomato and sage
,4,79,dinner,"spiced lamb salad with orange, coriander and red onion"
,4,80,dinner,spiced lamb chops with ratatouille
,4,81,lunch,steak and mushroom pie
,4,82,dinner,fennel-crusted pork fillet with parsnip and baked apple
,4,83,dinner,lemongrass and soy chicken with sugar snap peas and asparagus
,4,84,lunch,spicy lamb burger with tzatziki
,4,85,lunch,stuffed capsicums
