id,recipename_id,NumStep,StepDesc
1,2,1,"Heat oil in a small frying pan over medium heat. Add lemongrass, spring onion and chilli and cook, stirring,for 2 minutes. Remove from heat and set aside."
2,2,2,"In a medium saucepan, bring stock to a boil. Add lemongrass mixture, fish sauce, soy sauce and chicken, then reduce heat and simmer for 10 minutes, or until chicken is cooked."
3,2,3,Add bean sprouts and stir to heat through. Season to taste with Equal ‚Äì the sweetness will balance out the flavours of the soup. Serve topped with coriander and mint.
4,3,1,"Bring stock to a boil in a large saucepan. Add carrot, celery, onion, parsley and tomato and simmer gently for 30 minutes. "
5,3,2,Stir through basil and rosemary and season to taste.
6,3,3,"To make beef soup, add 400 g diced beef with the vegetables, parsley and tomato. Simmer for 1 hour, or until beef is tender."
7,4,1,"Heat oil in a heavy-based saucepan over medium heat. Add carrot, onion and celery and cook for 5 minutes, or until vegetables are soft. Add garlic, ginger, lentils and spices and stir to combine. Add tomatoes and water and bring to a boil. Reduce heat and simmer for 30 minutes, or until lentils are soft. Season with pepper and stir through coriander and parsley. Spoon into bowls and serve with a dollop of yoghurt."
8,5,1,Preheat oven to 170¬8C (340¬8F).
9,5,2,"Heat 2 teaspoons of the oil in a large, heavy-based frying pan over high heat. Add onion, mushrooms and garlic and sautv© for 5 minutes, or until soft. Transfer to a large, ovenproof dish."
10,5,3,"Toss meat in lightly seasoned flour. Heat remaining oil in frying pan and cook beef, in 2 batches, until well-browned. Transfer to onion and mushroom mixture."
11,5,4,"Add tomato, wine, stock and capsicum to frying pan and bring to a gentle boil, scraping up any bits of beef stuck to bottom of pan. Add to casserole dish. Cover and transfer to oven for 1¬O‚Äì2 hours. Remove lid and cook for a further 30 minutes, or until meat is tender. Stir through herbs and season to taste."
12,6,1,"In a large bowl, sift flour and make a well in the centre. In a separate bowl, mix eggs and buttermilk. Pour egg mixture into flour and stir to make a smooth batter. Add corn, spring onions, parsley and capsicum and fold through."
13,6,2,"In a small bowl, mix lemon juice, yoghurt and coriander, and set aside."
14,6,3,"Heat oil in a large non-stick frying pan over medium heat. Drop 1/3-cupfuls of mixture into the pan and cook for 3 minutes, or until golden. Turn and cook for a further 3 minutes, or until mixture is firm and set."
15,6,4,"Serve 2 fritters per person, topped with a quarter of the smoked salmon and spinach, and drizzled with a little yoghurt dressing."
16,7,1,"In a large saucepan or deep frying pan, bring soy sauce, sherry, ginger, 1/4  cup coriander, two-thirds of the spring onion and chicken stock to a boil."
17,7,2,"Add chicken, then reduce heat and simmer for 12 minutes. Remove from heat but allow chicken to rest in liquid for 5 minutes. Slice chicken thickly and place on serving plate. Pour over a little poaching liquid and top chicken with extra coriander and remaining spring onion."
18,7,3,Serve with your favourite steamed green and rice from your daily bread allowance.
19,8,1,"Heat half the oil in a large heavy-based saucepan over high heat. Add bacon, onion and garlic and cook for 5 minutes, or until onion is soft. Remove from pan and set aside. Return pan to heat, add remaining oil and cook chicken in batches for 5 minutes, or until golden. Return all chicken and bacon mixture to pan, add wine, stock, tomatoes and bay leaves and bring to a boil. Reduce heat and simmer, covered, for 45 minutes, or until chicken is tender. Remove lid, stir in cornflour mixture and mushrooms and simmer, uncovered, for a further 10 minutes."
20,8,2,"Meanwhile, steam beans in a steamer for 5 minutes. Serve coq au vin sprinkled with parsley and with beans on the side."
21,9,1,"In a cup, mix all dressing ingredients."
22,9,2,Heat a heavy-based frying pan over medium heat. Brush tuna steaks with oil. Add to pan and cook for 3 minutes each side.
23,9,3,"Meanwhile, bring a little water to a simmer in a wok. Put bok choy into a bamboo steamer and place steamer in wok. Cover wok and steam bok choy for 2‚Äì3 minutes."
24,9,4,"Divide bok choy between serving plates and arrange tuna steaks on top. Sprinkle with spring onion, coriander and mint and drizzle the dressing over. Offer lime wedges."
25,10,1,Preheat oven to 200¬8C (400¬8F). Line a baking tray with baking paper.
26,10,2,"Mix milk powder and water in a small bowl. In a separate bowl, mix ground spices."
27,10,3,"Dip fish fillets into the milk, then roll in the mixed spices."
28,10,4,"Heat oil in a frying pan over high heat. Rapidly fry the fish, in batches, for 2 minutes each side, or until golden. Be careful not to overcrowd the pan, as the fish will stew. Place all fillets on prepared baking tray and bake for 5 minutes."
29,10,5,Mix yoghurt and cucumber and lightly season. Servefish with lemon wedges and yoghurt sauce and with salador vegetables.
30,11,1,Preheat oven to 170¬8C (330¬8F). Lightly grease a 20 cm ovenproof flan dish with a little oil.
31,11,2,"In a large bowl, whisk eggs with milk. Add remaining ingredients and stir to mix well."
32,11,3,"Pour mixture into flan dish and bake for 35‚Äì40 minutes,or until set. Serve with a green salad."
33,12,1,"To make the meatballs, mix all ingredients except oil in a large bowl. Roll tablespoonfuls of mixture into balls and set aside. Heat oil in a large frying pan over high heat. Carefully add half the meatballs and cook, turning occasionally, for 8‚Äì10 minutes, or until cooked through. Remove from pan and drain on paper towel. Repeat with remaining uncooked meatballs. Do not overcrowd pan when cooking or meatballs will stew."
34,12,2,"For the sauce, heat oil in a small saucepan over medium heat. Add garlic and capsicum and cook, stirring occasionally, for 3 minutes, or until capsicum is soft. Add tomato and stock, then reduce heat to low and simmer for 5 minutes. Add pepper to taste, basil and meatballs and simmer for a further 8‚Äì10 minutes.  "
35,12,3,Serve with salad or vegetables.
36,13,1,Heat a grill plate or barbecue grill to hot.
37,13,2,"Brush meat with oil and cook for 3‚Äì4 minutes eachside for medium‚Äìrare, or until cooked to your liking.Place steaks in a warm place, or cover with foil, and set aside for 5 minutes to rest."
38,13,3,"Meanwhile, mix all dressing ingredients in a small bowl."
39,13,4,Slice meat across the grain into thin strips.
40,13,5,"Place beef and remaining ingredients in a large bowl.  Pour dressing over salad, then toss gently and serve immediately."
41,14,1,Preheat a grill plate or barbecue grill to high.
42,14,2,"In a small bowl, mix rosemary, garlic and olive oil. Rub into steaks using your fingers. Cook steaks for 4 minutes each side, or until done to your liking. Remove from heat, cover with foil and set aside to rest for 5‚Äì10 minutes."
43,14,3,"To make the salad, mix all ingredients. Serve steak with salad and your favourite steamed vegetables."
44,15,1,"Heat oil in a large saucepan over high heat. Add chicken in batches and cook, stirring occasionally, for 5 minutes, or until browned. Remove from pan and set aside."
45,15,2,"Reduce heat to medium, then add leek and cook for 8 minutes, or until soft. Add carrot, celery and garlic and cook for 10‚Äì12 minutes, or until vegetables are soft. Add stock, wine and tomato and bring to a boil. Reduce heat to low, then return chicken to pan and simmer gently for 35 minutes."
46,15,3,Add herbs and season to taste. Serve with a mixed green salad.
47,16,1,Preheat oven to 200¬8C (400¬8F).
48,16,2,"Heat a heavy-based frying pan over high heat. Coat meat with 2 teaspoons of the oil and sear on all sides. Transfer to a baking dish, fat-side up. Cook in oven for 30 minutes for medium‚Äìrare, or until done to your liking."
49,16,3,"Meanwhile, place vegetables in a separate baking dish. Drizzle over the remaining oil, lightly season, and toss to coat. Sprinkle rosemary over vegetables, then roast for 35 minutes."
50,16,4,"Remove meat from oven, cover loosely with foil and set aside to rest for 10 minutes before carving. Serve with roasted vegetables."
51,17,1,"In a small bowl, mix rosemary, garlic and redcurrant jelly. Add lamb and toss to coat thoroughly."
52,17,2,"Heat oil in a large non-stick frying pan over medium heat. Add lamb and cook for 3 minutes each side, or until done to your liking. Remove lamb from heat, cover with foil and set aside to rest for 5 minutes."
53,17,3,"In a large bowl, combine olives, feta, cos leaves and fennel. Toss with balsamic dressing and divide among serving plates. Slice lamb thickly on the diagonal and arrange on top of salad."
54,18,1,Preheat oven to 180¬8C (350¬8F).
55,18,2,"Place lemon zest, lemon juice, garlic, thyme, parsley and half the oil in a food processor and blend until smooth. Grease a large ovenproof baking dish with the remaining oil, arrange chicken pieces in the dish and spoon on herb mixture. Rub mixture into chicken pieces and season lightly. Add onions and pumpkin to dish and cover with foil. Roast for 20 minutes. Remove foil, baste chicken with cooking juices, and bake for a further 40 minutes. "
56,18,3,Serve with steamed greens or a salad.
57,19,1,"Bring vegetables, bay leaves, allspice, lemon juice and stock to a boil in a large saucepan. Reduce heat and simmer for 45 minutes."
58,19,2,"Allow to cool slightly, then remove bay leaves and puree using a blender or hand-held processor. Season to taste."
59,19,3,Gently reheat soup and serve with a dollop of low-fat yoghurt and a sprinkling of parsley. This soup can also be served cold.
60,20,1,Bring a small saucepan of lightly salted water to a boil. Blanch beans for 5 minutes. Drain and cool under cold running water.
61,20,2,"In a small bowl, mix all dressing ingredients and season to taste."
62,20,3,"Drain salmon and place in a salad bowl with beans, tomatoes, spring onion and lettuce. Pour dressing over salad, toss well and serve immediately."
63,20,4,"Salmon goes with many ingredients. Try the following combinations of flavours, or make up your own: tinned salmon, red onion, capsicum, tomatoes and lettuce; tinned or smoked salmon with capers, red onion, asparagus and dill."
64,20,5,"Tinned tuna also makes a quick and easy lunch when tossed with other salad ingredients. For example, toss together tinned tuna, celery, tomatoes, cucumber and lettuce and dress with oil-free salad dressing."
65,21,1,"Heat oil in a large heavy-based saucepan over medium heat. Add chicken in batches and cook for 5 minutes, or until browned. Return all chicken pieces to pan, add celery and leek and cook for 5 minutes, or until leek is soft. Pour in chicken stock and cornflour mixture and bring to a boil. Reduce heat, cover and simmer for 20 minutes. Stir in herbs and peas and season lightly. Spoon chicken filling into a 2 litre ovenproof pie dish and set aside to cool slightly."
