tagclass_id,Tag,recipename_id,id,Weight
313,oriental,2,1,2
463,chicken,2,2,2
168,soup,2,3,1
359,notfeelingwell,2,4,1
857,sick,2,5,1
376,asianchickensoup,2,6,1
704,bestsoup,2,7,1
73,asiandinner,2,8,1
133,Chinesefood,2,9,1
443,asiansoup,2,10,1
502,wintermelonsoup,2,11,1
76,wintermelon,2,12,1
577,ilovetocook,2,13,1
575,chickensoup,2,15,1
181,tastysoup,2,17,1
28,yummy,2,20,1
814,spicy,2,21,1
640,veryspicy,2,22,1
108,healthy,2,23,1
834,chickenstirfry,2,24,1
701,Homemade,2,25,1
376,AsianChickenSoup,2,26,1
740,ComfortFood,2,27,1
53,khmerchickensoup,2,28,1
473,cambodianchickensoup,2,29,1
65,spicyfishsauce,2,31,1
240,fishsauce,2,33,1
266,food,2,34,1
607,ilovetoeat,2,35,1
627,fatkid,2,36,1
276,fatkidstatus,2,37,1
393,beautyandthebeast,2,38,1
569,belle,2,39,1
503,bestsoupever,2,40,1
260,delicious,2,41,1
436,amazing,2,42,1
824,vegetable,3,43,1
168,soup,3,44,1
779,carrot,3,45,1
466,celery,3,46,1
708,onion,3,47,1
587,parsley,3,48,1
593,basil,3,49,1
220,tomato,3,50,1
287,rosemary,3,51,1
824,vegetable,4,52,1
168,soup,4,53,1
311,lentil,4,54,1
814,spicy,4,55,1
674,olive oil,4,56,1
779,carrot,4,57,1
346,garlic,4,58,1
407,ginger,4,59,1
369,masala,4,60,1
337,chilli,4,61,1
220,tomato,4,62,1
746,pepper,4,63,1
821,coriander,4,64,1
587,parsley,4,65,1
144,yoghurt,4,66,1
175,beef casserole,5,67,1
584,beef,5,68,1
674,olive oil,5,69,1
600,mushrooms,5,70,1
346,garlic,5,71,1
267,flour,5,72,1
220,tomato,5,73,1
234,wine,5,74,1
619,capsicum,5,75,1
587,parsley,5,76,1
720,oregano,5,77,1
482,corn fritters,6,78,1
428,salmon,6,79,1
805,wholemeal,6,80,1
872,wholegrain bread,6,81,1
233,eggs,6,82,1
589,buttermilk,6,83,1
19,corn cobs,6,84,1
708,onion,6,85,1
587,parsley,6,86,1
746,pepper,6,87,1
280,lemon juice,6,88,1
144,yoghurt,6,89,1
821,coriander,6,90,1
674,olive oil,6,91,1
363,spinach,6,93,1
463,chicken,7,94,1
322,soy sauce,7,95,1
583,poached chickenginger,7,96,1
407,ginger,7,97,1
708,onion,7,98,1
188,dry sherry,7,99,1
821,coriander,7,100,1
204,coq au vin,8,101,1
598,coq,8,102,1
674,olive oil,8,103,1
121,vin,8,104,1
68,bacon,8,105,1
708,onion,8,106,1
346,garlic,8,107,1
463,chicken,8,108,1
234,wine,8,109,1
317,chicken stock,8,110,1
220,tomato,8,111,1
379,cornflour,8,112,1
600,mushrooms,8,113,1
493,beans,8,114,1
587,parsley,8,115,1
515,seared,9,116,2
660,tuna,9,117,2
10,asian,9,118,2
229,greens,9,119,2
788,soy,9,120,2
614,searedtuna,9,121,1
634,protein,9,122,1
324,fitfood,9,123,1
108,healthy,9,124,1
540,brainfood,9,125,1
663,searedsalmon,9,126,1
629,sushi,9,127,1
612,brunch,9,129,1
116,love,9,130,1
271,wasabi,9,131,1
346,garlic,9,132,1
670,cheese,9,133,1
101,asianfusion,9,135,1
5,goodfood,9,136,1
213,tunasushi,9,137,1
404,tunatartar,9,138,1
345,yum,9,140,1
28,yummy,9,141,1
275,ftgreenesushi,9,142,1
517,cajun,10,143,2
303,fish,10,144,2
77,spaghetti,10,145,1
750,corn,10,146,1
330,cajunFishFillets,10,147,1
766,texastoast,10,148,1
331,vegetablefrittata,11,149,2
685,ham,11,150,2
423,zucchini,11,151,2
824,vegetables,11,152,1
436,amazing,11,153,1
752,eatwell,11,154,1
320,health,11,155,1
345,yum,11,156,1
406,meatballs,12,158,1
220,tomato,12,159,1
593,basil,12,160,1
461,tomato sauce,12,161,1
584,beef,12,162,1
233,eggs,12,163,1
720,oregano,12,164,1
708,onion,12,165,1
587,parsley,12,166,1
504,sauce,12,167,1
674,olive oil,12,168,1
346,garlic,12,169,1
746,pepper,12,170,1
385,thai,13,171,2
584,beef,13,172,2
164,salad,13,173,2
867,thaibeefsalad,13,174,2
274,lunch,13,175,1
266,food,13,176,1
449,hungry,13,177,1
108,healthy,13,178,1
669,kungfu,13,180,1
11,thaifood,13,181,1
88,spicylevel7,13,183,1
254,sospicy,13,184,1
494,holdthecarbs,13,187,1
54,yumnuea,13,189,1
350,southeastasiansalads,13,190,1
59,wheatfree,13,191,1
122,carbfree,13,192,1
