id,user_id,recipe_id,rate
2,2,19,5
3,2,46,5
4,2,26,5
6,2,75,5
8,2,82,4
9,2,11,4
10,2,22,2
11,2,37,2
13,2,3,5
15,2,53,5
16,2,39,5
17,2,32,5
18,2,102,4
19,2,76,5
21,2,23,4
25,2,42,3.25
26,2,97,4
32,2,55,3.67
33,2,90,2
34,2,106,2
35,2,61,4
38,2,72,2.33
40,2,109,4.5
41,2,41,5
42,2,62,3
43,2,31,5
44,2,58,5
45,2,44,5
47,2,93,3.5
48,2,84,2
49,2,59,5
50,2,49,1
147,2,100,4.19
148,3,19,4
149,3,46,5
152,3,26,4
153,3,40,2
154,3,11,5
155,3,22,3
156,3,37,2
157,3,27,2
158,3,83,4
159,3,12,4
160,3,53,5
161,3,117,1
163,3,43,4.5
164,3,102,2
165,3,20,2
166,3,112,5
167,3,57,4
168,3,115,2
169,3,80,2
171,3,60,3
173,3,85,3
174,3,55,2
176,3,56,3
178,3,6,5
179,3,71,2
180,3,114,2
181,3,90,2
182,3,106,2
184,3,72,3
185,3,63,2
187,3,91,3
189,3,17,1.5
191,3,44,2
192,3,84,2
193,3,49,4
271,3,98,3.67
272,4,53,1
273,4,32,1
275,4,42,1.5
279,4,97,2
280,4,72,3
281,4,44,3
282,4,93,1
283,4,84,2
284,4,59,3
306,4,49,2.18
307,5,19,3
308,5,65,5
310,5,5,4
311,5,46,5
312,5,47,1
316,5,10,4.5
318,5,110,3
319,5,40,1
320,5,22,1
321,5,37,1
322,5,83,4
323,5,3,4
324,5,12,5
325,5,24,4
326,5,117,5
329,5,43,3.67
331,5,32,3.5
332,5,102,1
333,5,76,4
335,5,23,2.5
336,5,36,5
337,5,42,5
338,5,57,3
339,5,115,1
341,5,80,1
343,5,60,3.5
344,5,54,5
347,5,85,3
348,5,97,5
349,5,13,5
350,5,34,5
351,5,67,2
352,5,64,5
357,5,56,2
359,5,30,4
360,5,48,5
361,5,107,5
363,5,6,2.5
364,5,71,1
365,5,90,1
366,5,106,1
367,5,61,1
369,5,72,1
370,5,88,1
372,5,91,3
374,5,94,4
375,5,41,1
378,5,31,3
380,5,17,2
381,5,44,5
382,5,104,3
384,5,93,3
386,5,4,2
387,5,84,1
388,5,59,5
389,5,49,4
390,5,98,5
392,5,95,2.5
554,5,100,3.86
555,6,19,3
556,6,26,2
557,6,37,3
558,6,117,5
559,6,2,1
562,6,43,2
563,6,36,1
564,6,57,4
566,6,115,2
568,6,56,1.5
569,6,107,5
570,6,71,5
572,6,72,3.5
574,6,91,2.5
576,6,78,2.5
624,6,44,2.77
625,7,65,4
627,7,10,4
628,7,40,3
629,7,22,3
631,7,37,3
635,7,12,3.5
636,7,102,4
637,7,76,3
639,7,20,2.5
640,7,115,5
644,7,80,3.5
645,7,85,2
646,7,55,4
648,7,56,3
649,7,6,4
650,7,90,2
651,7,61,4
653,7,72,4.5
654,7,88,4
657,7,91,3.67
661,7,41,4
662,7,93,5
663,7,4,3
664,7,84,5
665,7,81,1
757,7,98,3.47
759,8,19,4
760,8,110,5
763,8,53,2.67
764,8,23,2
765,8,9,1
766,8,42,5
767,8,57,4
768,8,13,1
769,8,55,1
770,8,64,5
774,8,56,3.75
775,8,48,1
776,8,103,5
777,8,90,2
779,8,72,1.5
782,8,109,2.67
784,8,41,4
825,8,44,3.32
826,9,19,2
829,9,75,4
830,9,22,4
831,9,83,5
834,9,3,3.67
835,9,39,5
836,9,23,2
837,9,80,4
841,9,60,4
843,9,61,1.5
844,9,109,5
845,9,91,5
846,9,41,4
847,9,58,4
895,9,66,3.81
896,10,19,4
897,10,5,4
898,10,26,4
899,10,37,5
900,10,12,3
901,10,53,3
902,10,117,2
903,10,2,4
905,10,43,4
906,10,32,2
908,10,102,4.5
909,10,36,5
910,10,42,5
911,10,57,1
913,10,115,2.5
914,10,60,5
917,10,54,4
918,10,97,3
919,10,64,5
920,10,56,2
922,10,21,3.5
923,10,107,4
924,10,8,5
925,10,71,2
926,10,106,1
927,10,61,3
929,10,72,4
932,10,91,3
935,10,94,4
937,10,41,4.5
938,10,78,4
940,10,17,4.5
941,10,44,4
1036,11,100,3.89
1039,11,110,3.33
1040,11,113,1
1041,11,11,5
1042,11,22,4
1043,11,117,5
1045,11,2,3
1046,11,39,4
1048,11,32,2
1049,11,102,3
1050,11,76,1
1051,11,23,1
1052,11,20,4
1054,11,112,2.5
1055,11,9,2
1056,11,36,5
1057,11,80,3
1058,11,13,1
1059,11,67,4
1063,11,64,3.5
1066,11,30,4.33
1067,11,71,1
1068,11,114,5
1069,11,106,2
1070,11,72,5
1071,11,88,2
1072,11,63,1
1074,11,91,3
1075,11,94,5
1077,11,41,3.5
1078,11,78,3
1080,11,31,1
1081,11,84,3
1159,11,49,2.97
1160,12,19,4
1161,12,65,4
1163,12,5,4
1164,12,46,3
1167,12,47,1.67
1168,12,26,1
1172,12,75,2.75
1173,12,113,3
1174,12,40,2
1175,12,22,1
1176,12,37,2
1177,12,27,1
1179,12,83,2
1180,12,12,1
1181,12,53,2
1182,12,117,2
1185,12,43,1.67
1186,12,39,4
1188,12,32,1
1189,12,23,1
1190,12,20,2
1191,12,112,2
1192,12,9,2
1193,12,36,1
1194,12,42,2
1195,12,57,2
1197,12,115,2
1199,12,60,1.5
1200,12,54,1
1202,12,85,1.5
1203,12,13,3
1209,12,105,2.17
1211,12,21,1
1212,12,107,1
1213,12,8,3
1214,12,6,2
1217,12,103,1.33
1218,12,71,1
1219,12,114,2
1220,12,90,2
1221,12,106,1
1222,12,61,1
1223,12,72,1
1225,12,63,1.5
1226,12,86,4
1227,12,109,1
1230,12,91,2
1234,12,94,2.5
1235,12,78,4
1236,12,62,2
1240,12,31,1.75
1241,12,17,2
1243,12,58,2.5
1244,12,44,3
1245,12,104,2
1246,12,93,2
1247,12,81,1
1248,12,66,2
1249,12,59,2
1250,12,49,2
1251,12,98,1
1425,13,95,2.18
1426,13,11,4
1427,13,27,2
1428,13,53,5
1430,13,117,4.5
1431,13,102,2
1432,13,76,4
1433,13,20,4
1434,13,9,4
1435,13,85,4
1437,13,55,3.5
1438,13,107,4
1439,13,6,4
1440,13,103,3
1441,13,72,3
1442,13,88,5
1443,13,86,4
1444,13,58,4
1445,13,93,3
1489,13,66,3.45
1490,14,46,4
1492,14,47,2.5
1493,14,26,5
1495,14,75,3.5
1497,14,82,4
1498,14,40,4
1499,14,11,4
1500,14,83,1
1501,14,2,1
1503,14,43,4.5
1505,14,32,3.5
1506,14,115,5
1508,14,80,4
1510,14,64,3
1511,14,48,4
1512,14,71,4
1513,14,106,4
1514,14,72,2
1515,14,88,3
1516,14,86,2
1517,14,91,2
1519,14,31,2.5
1520,14,84,5
1556,14,49,3.92
1557,15,5,5
1559,15,46,4.5
1560,15,76,4
1561,15,36,3
1562,15,30,5
1563,15,21,4
1591,15,103,3.25
1593,16,19,2.5
1594,16,113,3
1595,16,37,1
1596,16,3,2
1597,16,12,4
1598,16,117,1
1600,16,2,1.5
1601,16,39,1
1603,16,32,3
1604,16,23,3
1606,16,20,2
1607,16,9,4
1608,16,57,2
1609,16,80,2
1610,16,97,5
1613,16,13,3.33
1614,16,71,1
1615,16,114,1
1616,16,106,5
1617,16,88,2
1619,16,91,3
1620,16,41,3
1621,16,62,5
1622,16,31,4
1623,16,4,1
1660,16,49,2.92
1661,17,19,1
1662,17,5,4
1663,17,46,5
1666,17,47,4.33
1668,17,26,3
1669,17,113,4
1671,17,22,5
1672,17,12,5
1673,17,117,5
1676,17,43,4.67
1677,17,39,1
1679,17,32,1
1680,17,9,4
1681,17,115,4
1683,17,60,4.5
1688,17,54,3.8
1689,17,114,5
1690,17,106,5
1691,17,72,5
1693,17,63,4.5
1695,17,91,4
1696,17,62,2
1697,17,58,4
1698,17,44,4
1699,17,93,3
1700,17,49,3
1759,17,95,3.36
1761,18,65,2.5
1762,18,46,5
1763,18,10,4
1765,18,75,4.5
1766,18,40,5
1767,18,27,1
1768,18,83,2
1770,18,3,4.5
1771,18,12,1
1772,18,53,1
1774,18,24,3.5
1775,18,39,1
1776,18,32,1
1777,18,23,5
1778,18,20,4
1779,18,112,2
1781,18,9,4.5
1784,18,60,4.33
1786,18,54,4.5
1790,18,64,3.25
1791,18,30,5
1792,18,21,1
1793,18,8,1
1795,18,6,5
1796,18,114,2
1797,18,72,1
1798,18,88,4
1799,18,63,1
1800,18,35,5
1802,18,109,5
1804,18,94,3.5
1805,18,41,4
1809,18,31,1.75
1810,18,17,2
1811,18,58,1
1813,18,104,1
1815,18,4,2.5
1816,18,84,4
1817,18,81,1
1899,18,66,3.3
1900,19,19,4
1901,19,46,5
1904,19,47,3.67
1907,19,26,4
1909,19,22,5
1910,19,53,4
1911,19,117,5
1912,19,43,5
1913,19,39,3
1914,19,32,5
1915,19,23,4
1916,19,20,2
1917,19,112,5
1918,19,9,2
1919,19,115,3
1921,19,60,3
1923,19,54,2.5
1925,19,105,4.5
1927,19,21,4
1928,19,107,5
1929,19,6,3
1932,19,103,3
1933,19,71,5
1934,19,106,5
1936,19,63,4.5
1937,19,86,2
1939,19,91,4
1940,19,94,4
1944,19,78,4
1946,19,17,3.5
1947,19,44,3
1948,19,104,3
1949,19,81,5
1950,19,66,3
1951,19,59,2
1952,19,49,4
2056,20,98,3.75
2057,20,22,5
2060,20,83,3.33
2061,20,112,1
2063,20,9,3
2064,20,103,5
2065,20,106,4
2068,20,88,2
2070,20,58,2
2089,20,84,3.74
2090,21,19,3
2091,21,65,1
2093,21,5,3.5
2094,21,46,1
2096,21,10,3
2097,21,26,4
2099,21,75,2
2100,21,110,2
2102,21,82,2.5
2103,21,113,3
2104,21,40,3
2105,21,37,1
2106,21,27,1
2107,21,83,1
2109,21,3,2
2110,21,12,1
2111,21,53,2
2112,21,24,3
2113,21,117,3
2114,21,2,2
2117,21,43,2.33
2118,21,39,2
2119,21,32,3
2120,21,102,3
2121,21,23,1
2122,21,20,1
2124,21,112,3
2125,21,9,1
2126,21,36,2
2127,21,42,4
2128,21,57,2
2130,21,115,2
2133,21,60,1.67
2136,21,54,2.33
2137,21,97,4
2138,21,34,3
2139,21,67,2
2140,21,64,1
2141,21,56,1
2145,21,105,2
2146,21,30,3
2148,21,21,2.5
2149,21,107,2
2150,21,8,4
2152,21,6,2
2153,21,71,2
2154,21,114,1
2155,21,106,1
2156,21,61,1
2158,21,72,2
2159,21,88,3
2160,21,63,3
2162,21,35,2.5
2163,21,109,1
2166,21,91,2.67
2169,21,94,1.67
2171,21,41,2
2172,21,78,1
2176,21,31,1
2177,21,17,1
2179,21,58,2
2180,21,44,5
2182,21,104,2
